step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
115,1.231526401117034e-12,,,,,,,,,,,,,,,,,surface_compression,1,0.13819696952004498,,0,12,0.042707134642696466,0.29930775641410967,98359141081467.72,64,64,0,0.35
116,1.2436028405466341e-12,,,,,,,,,,,,,,,,,relaxation,1,-0.06293633514659776,,0,12,0.04131060727899132,0.4585790588005569,94339738766609.78,64,64,0,0.35
117,1.2509342924963582e-12,,,,,,,,,,,,,,,,,relaxation,1,0.05332664162265756,,0,11,0.07950941871288053,0.42689771892642137,89844144085603.66,64,64,0,0.35
118,1.2534442124222373e-12,,,,,,,,,,,,,,,,,surface_compression,1,-0.006890384612722308,,0,12,0.043370552527541045,0.33851280579816667,107665287511325.38,64,64,0,0.35
119,1.2685197922603513e-12,,,,,,,,,,,,,,,,,random_bulk,1,-0.3269055317006186,-0.29801832838869835,1,12,0.14845240295535853,0.5828309860898157,92932554333855.95,64,64,0,0.35
120,1.2692118849327025e-12,,,,,,,,,,,,,,,,,relaxation,1,-0.2131147624791649,,0,11,0.05245886926927987,0.49885089336241023,104305573855087.27,64,64,0,0.35
121,1.2776577086575121e-12,,,,,,,,,,,,,,,,,coordination,1,-0.22109288195494312,,0,12,0.15157752284909803,0.45286162743460195,99697856007668.47,64,64,0,0.35
122,1.2877060341211672e-12,,,,,,,,,,,,,,,,,random_surface,1,0.12221335266150223,,0,12,0.03883133611307119,0.5610744323825435,99650570000861.5,64,64,0,0.35
123,1.3073056351029381e-12,,,,,,,,,,,,,,,,,coordination,1,-0.024749225183169753,,0,12,0.040258005068719876,0.44075520660727624,88215367765120.95,64,64,0,0.35
124,1.3118315921530026e-12,-6545.468684114888,-15.58444924789259,-46.75334774367777,133.0,225.0,358.0,278.0,80.0,1.5380952380952382,0.5238095238095238,0.6312684365781711,0.7107142857142857,2.688346883468834,1.9009279964733654,2.0123080413809733,3.0812958095690863,random_surface,1,-0.01144556076750809,-0.005381177258787062,0,11,0.02111653116794602,0.6926428360380462,99562525703626.16,64,64,0,0.35
125,1.3242481171231846e-12,,,,,,,,,,,,,,,,,relaxation,1,-0.15403682625209633,,0,11,0.042553586557141004,0.48081058991410786,91036168214223.28,64,64,0,0.35
126,1.336396853756644e-12,,,,,,,,,,,,,,,,,surface,1,-0.29057275830020945,-0.26128311233338763,1,12,0.1577783411980772,0.4344331076040399,100098748679534.44,64,64,0,0.35
127,1.3588204994179681e-12,,,,,,,,,,,,,,,,,coordination,1,0.22049586599437854,,0,12,0.053001267938668196,0.35908483713485645,108197555927972.6,64,64,0,0.35
128,1.3640006234633793e-12,,,,,,,,,,,,,,,,,random_bulk,1,0.06883691065106655,,0,12,0.027623481184090876,0.528058608604868,95224682074902.22,64,64,0,0.35
129,1.3671898343884756e-12,,,,,,,,,,,,,,,,,relaxation,1,0.08883438520975513,,0,12,0.035817063120074905,0.46382818305714796,105012176731076.81,64,64,0,0.35
130,1.4104610422511514e-12,,,,,,,,,,,,,,,,,surface,1,-0.021817313220009057,,0,11,0.02509894245867394,0.6111027801288655,100734712178535.16,64,64,0,0.35
131,1.4203326689149048e-12,,,,,,,,,,,,,,,,,coordination,1,0.3243785221472138,,0,11,0.10094124721532072,0.5166921803015974,99752196685777.66,64,64,0,0.35
132,1.4267978242524015e-12,,,,,,,,,,,,,,,,,random_surface,1,-0.08745181185273351,-0.02669706596248389,1,11,0.04873771029838904,0.686647754535913,96209295527214.0,64,64,0,0.35
133,1.4431054402088433e-12,,,,,,,,,,,,,,,,,surface_compression,1,-0.023770250617839203,,0,10,0.05522303690020071,0.37796630561695355,100403284747230.02,64,64,0,0.35
134,1.4588606395528301e-12,,,,,,,,,,,,,,,,,coordination,1,-0.017178991428202665,,0,11,0.06037676466579166,0.46126083644736865,95658488194718.6,64,64,0,0.35
