step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
113,,,,1,random_surface,-0.05128257445491613,-0.05128257445491613,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
114,,,,1,relaxation,-0.6804139635043569,-0.6804139635043569,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
115,,,,0,rejected_coordination,0.03643946578572965,0.03643946578572965,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
116,,,,1,surface_compression,-0.058935293076935125,-0.058935293076935125,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
117,,,,1,coordination,0.04992134995409003,0.04992134995409003,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
118,,,,0,rejected_coordination,0.44176531802253294,0.44176531802253294,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
119,,,,1,coordination,-0.12765494292641577,-0.12765494292641577,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
120,,,,1,random_bulk,-1.081012713832834,-1.081012713832834,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
121,,,,1,surface_compression,0.050515703329129025,0.050515703329129025,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
122,,,,1,relaxation,-0.3038673038428783,-0.3038673038428783,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
123,,,,1,surface,0.2376433851277575,0.2376433851277575,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
124,-6548.747900538478,-15.592256906043994,-46.776770718131985,0,rejected_surface,0.16021791425986365,0.16021791425986365,0.0,0.0,,,135.0,224.0,359.0,277.0,82.0,1.5333333333333334,0.5333333333333333,0.6468842729970327,0.7119047619047619,2.774691776182089,1.9009918970705793,2.0090862665787728,3.057794273615278,29.79019789999802,10.070426554635944
125,,,,1,surface,-0.2739327435525283,-0.2739327435525283,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
126,,,,1,random_bulk,0.09737832644049149,0.09737832644049149,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
127,,,,1,surface_compression,-0.09371146896526383,-0.09371146896526383,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
128,,,,1,coordination,-0.10589300095581677,-0.10589300095581677,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
129,,,,1,surface,0.5842450776929056,0.5842450776929056,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
130,,,,0,rejected_surface,0.22127674830131383,0.22127674830131383,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
