step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
87,4.3184185517303454e-13,,,,,,,,,,,,,,,,,surface,1,0.05130559793032352,,0,16,0.028622301264137225,0.37962029627891186,199381158291626.8,128,128,0,0.35
88,4.320778667621689e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.028293038487725124,,0,18,0.06267154367155502,0.6073340079627533,197491518958268.62,128,128,0,0.35
89,4.3617089514469094e-13,,,,,,,,,,,,,,,,,surface,1,0.09729515564813125,,0,15,0.04168708578357423,0.34850033853032875,192981976418832.3,128,128,0,0.35
90,4.496726061461643e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.06287056311034059,,0,18,0.04254892889276135,0.5917559214386021,199263900490309.66,128,128,0,0.35
91,4.543368396762664e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.06860720334360353,,0,16,0.03292565810674408,0.44811149058790395,203258829216165.3,128,128,0,0.35
92,4.586872742691834e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.26437892860866224,,0,18,0.05450652632613935,0.11787251056674213,187346964874891.3,128,128,0,0.35
93,4.589547205142306e-13,,,,,,,,,,,,,,,,,random_surface,1,0.15186039891914502,,0,17,0.04374888092998773,0.45302778262113247,192260987842265.97,128,128,0,0.35
94,4.647709003992482e-13,,,,,,,,,,,,,,,,,surface,1,0.17780019174059358,,0,18,0.04323797183386193,0.20580441724270904,183937402641387.94,128,128,0,0.35
95,4.680231706904536e-13,,,,,,,,,,,,,,,,,coordination,1,-0.1495450102154189,,0,17,0.09085822306166487,0.22319516925418334,192553939096038.94,128,128,0,0.35
96,4.701594498013414e-13,,,,,,,,,,,,,,,,,coordination,1,-0.033726254173315144,-0.05410664607132887,1,17,0.03321785998892692,0.7597906174109937,202619092044070.28,128,128,0,0.35
97,4.800381760276602e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.3136268767469452,,0,17,0.09031538158593796,0.5140535541411337,183362666539547.3,128,128,0,0.35
98,4.829469284228865e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.08921188927335873,,0,18,0.04992761541158891,0.43577360285532873,186274175048643.44,128,128,0,0.35
99,4.846400417190851e-13,-6544.991690670627,-15.583313549215777,-46.749940647647335,135.0,224.0,359.0,283.0,76.0,1.5523809523809524,0.5238095238095238,0.6297376093294461,0.7086309523809524,2.696994313566206,1.9000797186837648,2.0127947798328276,3.01491451397708,rejected_surface,0,-0.001956716737589667,0.08272406570759117,0,19,0.028763103924899905,0.6111420233952545,206474225204275.88,128,128,0,0.35
100,4.857996217596261e-13,,,,,,,,,,,,,,,,,coordination,1,-0.028073580145793156,,0,16,0.03337283061585637,0.5872415875500215,206490121226061.3,128,128,0,0.35
101,4.903873516529285e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.3394092814577747,,0,18,0.04248631238105686,0.32560386454605533,202951657276903.94,128,128,0,0.35
102,4.956135778846783e-13,,,,,,,,,,,,,,,,,surface,1,-0.2369235741332802,-0.11329775079207494,1,18,0.15070840498940852,0.30099541557014786,181493771315824.3,128,128,0,0.35
103,5.029229820750407e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.2883348751651383,,0,17,0.04023104470431604,0.14793236390774858,196950762026931.38,128,128,0,0.35
104,5.068036150104681e-13,,,,,,,,,,,,,,,,,surface,1,-0.07565785332093718,,0,18,0.040323781631558246,0.48317338367332613,189946294292338.62,128,128,0,0.35
105,5.169273832226436e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.12453438459425759,,0,17,0.04454802480914761,0.5664469112923991,197331579308153.7,128,128,0,0.35
106,5.180727639812064e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.09534130957094272,,0,17,0.08436471702217983,0.4572265589816735,202758768591983.3,128,128,0,0.35
107,5.208335709662158e-13,,,,,,,,,,,,,,,,,coordination,1,0.10261873902649433,,0,17,0.030055297612275753,0.5104474924442082,185576675592104.6,128,128,0,0.35
108,5.240548842181477e-13,,,,,,,,,,,,,,,,,random_surface,1,0.08308843290659278,,0,17,0.040404511683535954,0.5082298122755844,202841622556989.1,128,128,0,0.35
109,5.289764694915869e-13,,,,,,,,,,,,,,,,,surface,1,-0.012689646423138334,,0,17,0.043675978109500635,0.5931121899588998,194032291787012.1,128,128,0,0.35
110,5.311470522632079e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.07432101151439874,,0,18,0.03628126869777159,0.5936327416416876,194339844489929.5,128,128,0,0.35
111,5.331502252448812e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.03667690501772959,,0,18,0.044835695049722894,0.6262099113467284,197867141771501.5,128,128,0,0.35
112,5.331879306881704e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.1654579812195197,,0,14,0.0718602468219516,0.4417345022980052,203914943342829.56,128,128,0,0.35
113,5.381833440609232e-13,,,,,,,,,,,,,,,,,coordination,1,0.06890230036136827,,0,18,0.02869022259095244,0.4574949270876911,197869142512762.25,128,128,0,0.35
114,5.499420590227249e-13,,,,,,,,,,,,,,,,,coordination,1,-0.20171643195795463,,0,16,0.09431262878973183,0.5394916714513536,197431237803315.22,128,128,0,0.35
115,5.617367402296436e-13,,,,,,,,,,,,,,,,,surface,1,-0.029809460869083582,,0,17,0.025090645441628583,0.559582069355087,197308943147673.12,128,128,0,0.35
116,5.675825413328138e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.2475241369307432,,0,18,0.05779418595629539,0.5501552266402736,198286200459194.62,128,128,0,0.35
117,5.741477472650959e-13,,,,,,,,,,,,,,,,,surface,1,0.009249264174066673,,0,18,0.022595402226642473,0.360134689979998,193324039919103.5,128,128,0,0.35
118,5.748060239061978e-13,,,,,,,,,,,,,,,,,coordination,1,-0.41767307779848173,-0.10728424291275473,1,17,0.12402507398739965,0.6203501233442985,195377590309374.5,128,128,0,0.35
119,5.81730608766533e-13,,,,,,,,,,,,,,,,,coordination,1,0.037785151067914705,,0,17,0.024356800038224647,0.29805574170015364,202450813190009.25,128,128,0,0.35
120,5.831436200853342e-13,,,,,,,,,,,,,,,,,coordination,1,-0.03143081153395638,,0,18,0.03655627475517218,0.4361417807200652,199484722191582.53,128,128,0,0.35
121,6.038049290002062e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.08237828102544416,,0,14,0.029481087410077992,0.33692422193970967,217654278565753.9,128,128,0,0.35
122,6.059921861888669e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.3524638240202279,,0,17,0.09306022057412446,0.4538712271538332,188807517434084.44,128,128,0,0.35
123,6.136931868347548e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.03173686775242691,,0,16,0.026805163143701523,0.30158688684763846,209426467882551.44,128,128,0,0.35
124,6.167890160806474e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.0957207757801597,-0.033786604952094734,1,18,0.04810128111364346,0.6969878966337851,194177753005553.25,128,128,0,0.35
125,6.241737324050661e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.16433108142041808,-0.09555149989644818,1,17,0.06520257464224304,0.6264514166953284,187555867024729.4,128,128,0,0.35
126,6.341542735885679e-13,,,,,,,,,,,,,,,,,surface,1,0.05242526577670543,,0,16,0.025312675783419704,0.25440905001666686,186702996581571.7,128,128,0,0.35
127,6.412878799613113e-13,,,,,,,,,,,,,,,,,relaxation,1,0.047234522842320395,,0,18,0.07551558030998075,0.5103845631393583,213118122504314.78,128,128,0,0.35
128,6.488491880086835e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.11026589866843184,,0,17,0.05827161464675835,0.5128944851347175,198532833194173.12,128,128,0,0.35
129,6.526107722248341e-13,,,,,,,,,,,,,,,,,coordination,1,-0.032229258717566565,,0,18,0.030834570998920466,0.630632396486829,184619626297299.94,128,128,0,0.35
130,6.544828513696202e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.3875515357384211,,0,18,0.14471942921546557,0.3509046476986456,198259036998544.28,128,128,0,0.35
131,6.732188841215982e-13,,,,,,,,,,,,,,,,,surface,1,0.02259703733230404,,0,18,0.05344390682314164,0.30829174504353735,203038829241769.38,128,128,0,0.35
132,6.744517549090365e-13,,,,,,,,,,,,,,,,,coordination,1,-0.008082138110214673,,0,17,0.05708071606600866,0.29372714230941355,192693395871491.75,128,128,0,0.35
133,6.795234216803278e-13,,,,,,,,,,,,,,,,,surface,1,-0.07171514650169718,,0,17,0.04614788540597828,0.2586885261157616,180732933805386.12,128,128,0,0.35
134,6.880062548685683e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.06486982668345535,,0,16,0.07317844597888387,0.44228731294786955,208214457889860.7,128,128,0,0.35
135,6.990015328956233e-13,,,,,,,,,,,,,,,,,random_surface,1,0.05919136395905453,,0,18,0.025875347905893107,0.327952492027978,212311064086630.25,128,128,0,0.35
136,6.994635241818361e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.06800118600626388,-0.07514051378083408,1,18,0.045621084925605994,0.6975614666151088,199643799514768.12,128,128,0,0.35
137,7.06173131488601e-13,,,,,,,,,,,,,,,,,relaxation,1,0.3010203391009238,-0.20739020934320251,1,17,0.16102139788532202,0.4211105750425891,190170117909014.3,128,128,0,0.35
138,7.073655891442659e-13,,,,,,,,,,,,,,,,,surface,1,0.13219203573046945,,0,18,0.03531532054336601,0.3863346616758804,185811994294371.4,128,128,0,0.35
139,7.181552935781051e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.05255629017216758,,0,17,0.03822619360831838,0.5497844433846701,188360550503846.78,128,128,0,0.35
